client_id,date_time
7179755,2017-03-15 00:19:28
4192640,2017-03-15 00:43:23
4192640,2017-03-15 00:44:38
6752370,2017-03-15 05:37:35
6752370,2017-03-15 05:40:25
6752370,2017-03-15 05:41:38
6752370,2017-03-15 05:42:42
6752370,2017-03-15 05:42:59
6752370,2017-03-15 05:43:08
6752370,2017-03-15 05:43:11
6752370,2017-03-15 05:43:13
9584408,2017-03-15 06:03:24
9584408,2017-03-15 06:14:28
2685910,2017-03-15 07:12:47
2685910,2017-03-15 07:13:47
1151364,2017-03-15 07:35:10
1151364,2017-03-15 07:37:57
1151364,2017-03-15 07:38:25
2685910,2017-03-15 07:47:11
4856478,2017-03-15 07:54:41
9396900,2017-03-15 08:27:50
3910683,2017-03-15 08:48:41
2376452,2017-03-15 08:49:44
2376452,2017-03-15 08:50:31
2724524,2017-03-15 09:14:58
1635912,2017-03-15 09:16:10
1635912,2017-03-15 09:16:33
9866200,2017-03-15 09:25:52
2349521,2017-03-15 09:31:38
6751813,2017-03-15 09:36:13
6751813,2017-03-15 09:36:40
2349521,2017-03-15 09:36:45
996458,2017-03-15 09:55:00
996458,2017-03-15 09:56:48
996458,2017-03-15 09:57:19
1680,2017-03-15 09:57:21
996458,2017-03-15 09:57:36
1680,2017-03-15 09:57:38
996458,2017-03-15 09:58:04
4197171,2017-03-15 10:00:25
996458,2017-03-15 10:04:56
8957145,2017-03-15 10:07:43
4812426,2017-03-15 10:10:51
4812426,2017-03-15 10:14:59
4812426,2017-03-15 10:15:29
5616882,2017-03-15 10:16:59
1598718,2017-03-15 10:21:19
9900469,2017-03-15 10:32:33
4197171,2017-03-15 10:34:32
5705368,2017-03-15 10:34:39
4197171,2017-03-15 10:35:04
5705368,2017-03-15 10:35:31
695565,2017-03-15 10:35:52
3657904,2017-03-15 10:36:29
695565,2017-03-15 10:37:19
4197171,2017-03-15 10:42:48
4197171,2017-03-15 10:43:02
4197171,2017-03-15 10:48:09
4197171,2017-03-15 10:48:17
1406774,2017-03-15 11:02:17
7794004,2017-03-15 11:03:20
6868337,2017-03-15 11:04:50
2671945,2017-03-15 11:04:51
